year,month,species_id,rodent_type,plot_type,captures
1991,6,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1991,6,PP,Granivore,Control,0.03225806451612903
1991,6,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1991,6,RM,Granivore,Control,0.06451612903225806
1991,7,DM,Kangaroo Rat,Control,0.7096774193548387
1991,7,DO,Kangaroo Rat,Control,0.12903225806451613
1991,7,DS,Kangaroo Rat,Control,0.03225806451612903
1991,7,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1991,7,PF,Granivore,Control,0.03225806451612903
1991,7,PP,Granivore,Control,0.16129032258064516
1991,7,PP,Granivore,Long-term Krat Exclosure,0.0967741935483871
1991,7,RM,Granivore,Control,0.03225806451612903
1991,7,RM,Granivore,Long-term Krat Exclosure,0.06451612903225806
1991,8,DM,Kangaroo Rat,Control,0.7741935483870968
1991,8,DO,Kangaroo Rat,Control,0.06451612903225806
1991,8,DS,Kangaroo Rat,Control,0.03225806451612903
1991,8,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1991,8,PF,Granivore,Control,0.03225806451612903
1991,8,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1991,8,PP,Granivore,Control,0.12903225806451613
1991,8,PP,Granivore,Long-term Krat Exclosure,0.16129032258064516
1991,8,RM,Granivore,Control,0.03225806451612903
1991,8,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1991,9,DM,Kangaroo Rat,Control,0.6774193548387096
1991,9,DO,Kangaroo Rat,Control,0.0967741935483871
1991,9,DS,Kangaroo Rat,Control,0.03225806451612903
1991,9,PE,Granivore,Control,0.03225806451612903
1991,9,PE,Granivore,Long-term Krat Exclosure,0.0967741935483871
1991,9,PF,Granivore,Control,0.03225806451612903
1991,9,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1991,9,PP,Granivore,Control,0.06451612903225806
1991,9,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1991,10,DM,Kangaroo Rat,Control,0.7419354838709677
1991,10,DO,Kangaroo Rat,Control,0.16129032258064516
1991,10,DS,Kangaroo Rat,Control,0.03225806451612903
1991,10,PE,Granivore,Control,0.0967741935483871
1991,10,PF,Granivore,Control,0.0967741935483871
1991,10,PF,Granivore,Long-term Krat Exclosure,0.12903225806451613
1991,10,PP,Granivore,Control,0.0967741935483871
1991,10,PP,Granivore,Long-term Krat Exclosure,0.16129032258064516
1991,10,RM,Granivore,Control,0.06451612903225806
1991,11,DM,Kangaroo Rat,Control,0.8064516129032258
1991,11,DO,Kangaroo Rat,Control,0.16129032258064516
1991,11,DS,Kangaroo Rat,Control,0.03225806451612903
1991,11,PE,Granivore,Control,0.03225806451612903
1991,11,PE,Granivore,Long-term Krat Exclosure,0.06451612903225806
1991,11,PF,Granivore,Control,0.06451612903225806
1991,11,PF,Granivore,Long-term Krat Exclosure,0.12903225806451613
1991,11,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1991,11,RM,Granivore,Control,0.3225806451612903
1991,11,RM,Granivore,Long-term Krat Exclosure,0.3225806451612903
1991,12,DM,Kangaroo Rat,Control,0.8064516129032258
1991,12,DO,Kangaroo Rat,Control,0.2903225806451613
1991,12,PE,Granivore,Control,0.0967741935483871
1991,12,PE,Granivore,Long-term Krat Exclosure,0.06451612903225806
1991,12,PF,Granivore,Control,0.03225806451612903
1991,12,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1991,12,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1991,12,RM,Granivore,Control,0.1935483870967742
1991,12,RM,Granivore,Long-term Krat Exclosure,0.3225806451612903
1992,1,DM,Kangaroo Rat,Control,0.6451612903225806
1992,1,DO,Kangaroo Rat,Control,0.1935483870967742
1992,1,DS,Kangaroo Rat,Control,0.03225806451612903
1992,1,PE,Granivore,Control,0.06451612903225806
1992,1,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,1,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,1,RM,Granivore,Control,0.16129032258064516
1992,1,RM,Granivore,Long-term Krat Exclosure,0.22580645161290322
1992,2,DM,Kangaroo Rat,Control,0.6774193548387096
1992,2,DO,Kangaroo Rat,Control,0.1935483870967742
